CB_0_closed,CB_1_closed,CB_2_closed,CB_3_closed,CB_4_closed,CB_5_closed,CB_6_closed,CB_7_closed,CB_8_closed,CB_9_closed,CB_10_closed,CB_11_closed,CB_12_closed,CB_13_closed,CB_14_closed,CB_15_closed,CB_16_closed,CB_17_closed,CB_18_closed,CB_19_closed,CB_20_closed,CB_21_closed,CB_151_closed,CB_152_closed,CB_153_closed,CB_158_closed,CB_22_closed,CB_23_closed,CB_24_closed,CB_25_closed,CB_171_closed,CB_172_closed,CB_173_closed,CB_178_closed,load_0::p,load_0::q,load_1::p,load_1::q,load_2::p,load_2::q,load_3::p,load_3::q,load_4::p,load_4::q,load_5::p,load_5::q,load_6::p,load_6::q,load_7::p,load_7::q,load_8::p,load_8::q,load_9::p,load_9::q,load_10::p,load_10::q,load_11::p,load_11::q,load_12::p,load_12::q,load_13::p,load_13::q,load_14::p,load_14::q,load_15::p,load_15::q,load_16::p,load_16::q,load_17::p,load_17::q,trafo_0_in_service,trafo_1_in_service,trafo_2_in_service,trafo_3_in_service,trafo_4_in_service,trafo_5_in_service,feeder_0_in_service,feeder_1_in_service,total_init_load,anomaly,reason
1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2.5023,0.5005,2.8611,0.7803,2.2535,0.2504,2.4349,0.6087,1.6128,0.4032,2.0418,0.2042,2.0786,0.4157,2.9935,0.8164,2.2095,0.2455,3.4719,0.868,1.9557,0.4889,2.1872,0.2187,2.2081,0.4907,2.6525,0.221,2.4512,0.4902,2.3407,0.6384,2.6375,0.2931,3.5224,0.8806,1,1,1,1,1,1,1,1,44.41532097118284,0,Transformers over 80%
1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2.5023,0.5005,2.8611,0.7803,2.2535,0.2504,2.4349,0.6087,1.6128,0.4032,2.0418,0.2042,2.0786,0.4157,2.9935,0.8164,2.2095,0.2455,3.4719,0.868,1.9557,0.4889,2.1872,0.2187,2.2081,0.4907,2.6525,0.221,2.4512,0.4902,2.3407,0.6384,2.6375,0.2931,3.5224,0.8806,1,1,1,0,1,1,1,0,44.41532097118284,1,No anomaly
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,2.4842,0.4968,3.2948,0.8986,2.0717,0.2302,3.4844,0.8711,1.7561,0.439,2.7034,0.2703,2.5965,0.5193,2.8426,0.7753,2.1282,0.2365,2.8406,0.7102,2.3659,0.5915,2.2466,0.2247,1.8546,0.4121,3.0024,0.2502,2.9471,0.5894,3.2877,0.8966,2.4136,0.2682,2.8227,0.7057,1,1,1,1,1,1,1,0,47.143229649336604,0,Transformers over 80%
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,2.4842,0.4968,3.2948,0.8986,2.0717,0.2302,3.4844,0.8711,1.7561,0.439,2.7034,0.2703,2.5965,0.5193,2.8426,0.7753,2.1282,0.2365,2.8406,0.7102,2.3659,0.5915,2.2466,0.2247,1.8546,0.4121,3.0024,0.2502,2.9471,0.5894,3.2877,0.8966,2.4136,0.2682,2.8227,0.7057,1,1,0,1,1,1,1,0,47.143229649336604,1,No anomaly
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1.9887,0.3977,3.17,0.8646,2.4087,0.2676,3.0142,0.7536,1.7327,0.4332,3.0337,0.3034,1.9724,0.3945,3.0471,0.831,2.2262,0.2474,2.5016,0.6254,1.7637,0.4409,2.3338,0.2334,1.8214,0.4048,3.1477,0.2623,2.2062,0.4412,2.9965,0.8172,2.2866,0.2541,3.1928,0.7982,1,1,1,1,1,1,1,0,44.84406926434214,0,Transformers over 80%
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1.9887,0.3977,3.17,0.8646,2.4087,0.2676,3.0142,0.7536,1.7327,0.4332,3.0337,0.3034,1.9724,0.3945,3.0471,0.831,2.2262,0.2474,2.5016,0.6254,1.7637,0.4409,2.3338,0.2334,1.8214,0.4048,3.1477,0.2623,2.2062,0.4412,2.9965,0.8172,2.2866,0.2541,3.1928,0.7982,1,0,1,1,1,1,1,0,44.84406926434214,1,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,2.4836,0.4967,3.3858,0.9234,2.2401,0.2489,3.1871,0.7968,2.3321,0.583,2.2463,0.2246,2.3011,0.4602,2.5096,0.6844,2.5662,0.2851,3.334,0.8335,1.6394,0.4098,2.3392,0.2339,1.7824,0.3961,2.5527,0.2127,2.8865,0.5773,3.3206,0.9056,2.1889,0.2432,2.5377,0.6344,1,1,1,1,1,1,1,1,45.83315893235691,0,Lines over 80%
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,2.4836,0.4967,3.3858,0.9234,2.2401,0.2489,3.1871,0.7968,2.3321,0.583,2.2463,0.2246,2.3011,0.4602,2.5096,0.6844,2.5662,0.2851,3.334,0.8335,1.6394,0.4098,2.3392,0.2339,1.7824,0.3961,2.5527,0.2127,2.8865,0.5773,3.3206,0.9056,2.1889,0.2432,2.5377,0.6344,0,1,1,1,1,1,1,1,45.83315893235691,1,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,2.1016,0.4203,3.281,0.8948,2.3747,0.2639,3.283,0.8208,2.0124,0.5031,2.6414,0.2641,2.1143,0.4229,2.9846,0.814,1.8714,0.2079,3.1776,0.7944,1.6505,0.4126,2.3155,0.2316,2.4752,0.55,3.4024,0.2835,2.2963,0.4593,2.2678,0.6185,1.9679,0.2187,3.5982,0.8995,1,1,1,1,1,1,1,1,45.8159341038418,0,Lines over 80%
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2.1016,0.4203,3.281,0.8948,2.3747,0.2639,3.283,0.8208,2.0124,0.5031,2.6414,0.2641,2.1143,0.4229,2.9846,0.814,1.8714,0.2079,3.1776,0.7944,1.6505,0.4126,2.3155,0.2316,2.4752,0.55,3.4024,0.2835,2.2963,0.4593,2.2678,0.6185,1.9679,0.2187,3.5982,0.8995,1,0,1,1,1,0,1,1,45.8159341038418,1,No anomaly
