CB_0_closed,CB_1_closed,CB_2_closed,CB_3_closed,CB_4_closed,CB_5_closed,CB_6_closed,CB_7_closed,CB_8_closed,CB_9_closed,CB_10_closed,CB_11_closed,CB_12_closed,CB_13_closed,CB_14_closed,CB_15_closed,CB_16_closed,CB_17_closed,CB_18_closed,CB_19_closed,CB_20_closed,CB_21_closed,CB_151_closed,CB_152_closed,CB_153_closed,CB_158_closed,CB_22_closed,CB_23_closed,CB_24_closed,CB_25_closed,CB_171_closed,CB_172_closed,CB_173_closed,CB_178_closed,load_0::p,load_0::q,load_1::p,load_1::q,load_2::p,load_2::q,load_3::p,load_3::q,load_4::p,load_4::q,load_5::p,load_5::q,load_6::p,load_6::q,load_7::p,load_7::q,load_8::p,load_8::q,load_9::p,load_9::q,load_10::p,load_10::q,load_11::p,load_11::q,load_12::p,load_12::q,load_13::p,load_13::q,load_14::p,load_14::q,load_15::p,load_15::q,load_16::p,load_16::q,load_17::p,load_17::q,trafo_0_in_service,trafo_1_in_service,trafo_2_in_service,trafo_3_in_service,trafo_4_in_service,trafo_5_in_service,feeder_0_in_service,feeder_1_in_service,total_init_load,anomaly,reason
1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,2.1421,0.4284,3.3088,0.9024,0.0,0.0,2.7273,0.6818,1.6713,0.4178,0.0,0.0,1.998,0.3996,2.7845,0.7594,2.7685,0.3076,2.8949,0.7237,0.0,0.0,2.7776,0.2778,1.849,0.4109,3.4351,0.2863,3.0184,0.6037,3.2792,0.8943,2.7286,0.3032,0.0,0.0,0,1,0,1,1,1,1,1,37.38313593377938,0,No anomaly
1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2.4694,0.4939,3.3509,0.9139,1.8617,0.2069,3.6547,0.9137,0.0,0.0,2.1519,0.2152,2.9486,0.5897,2.4814,0.6767,2.3717,0.2635,0.0,0.0,1.7363,0.4341,2.8986,0.2899,2.3812,0.5292,3.6383,0.3032,2.5399,0.508,2.432,0.6633,1.8761,0.2085,3.2283,0.8071,1,1,0,1,1,0,1,1,42.02090715773131,0,No anomaly
1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,2.0458,0.4092,2.8408,0.7748,2.5898,0.2878,3.3158,0.829,1.8045,0.4511,0.0,0.0,2.5502,0.51,2.823,0.7699,1.8147,0.2016,3.2447,0.8112,2.0616,0.5154,2.3569,0.2357,2.7638,0.6142,0.0,0.0,2.6636,0.5327,2.3735,0.6473,2.4652,0.2739,2.6628,0.6657,1,1,1,1,1,0,1,1,40.37657442213972,0,No anomaly
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,2.2975,0.4595,3.2983,0.8995,2.0901,0.2322,3.2889,0.8222,2.2539,0.5635,2.5264,0.2526,2.6237,0.5247,2.4644,0.6721,2.5487,0.2832,2.5247,0.6312,2.4538,0.6134,0.0,0.0,2.0386,0.453,3.2408,0.2701,3.0201,0.604,0.0,0.0,2.5927,0.2881,2.9301,0.7325,0,1,1,1,1,0,1,1,42.19253289712358,1,Lines over 80%
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,2.6155,0.5231,2.6739,0.7293,2.6411,0.2935,3.5118,0.8779,1.5769,0.3942,2.1895,0.219,2.1568,0.4314,3.298,0.8995,2.2033,0.2448,2.8903,0.7226,2.2184,0.5546,2.3054,0.2305,2.5475,0.5661,0.0,0.0,2.1038,0.4208,3.2575,0.8884,1.9527,0.217,3.6301,0.9075,1,1,1,0,0,1,0,1,43.77248470222705,0,No anomaly
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2.6316,0.5263,3.2649,0.8904,1.8943,0.2105,3.6114,0.9029,2.2875,0.5719,1.9683,0.1968,2.2048,0.441,2.1586,0.5887,2.0955,0.2328,2.9641,0.741,1.8443,0.4611,2.2588,0.2259,2.3511,0.5225,2.8564,0.238,2.3189,0.4638,3.192,0.8706,1.7823,0.198,3.5906,0.8976,1,1,1,0,0,1,0,1,45.275455598325195,0,No anomaly
0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2.8797,0.5759,2.2797,0.6217,2.3693,0.2633,3.6555,0.9139,2.078,0.5195,2.4644,0.2464,2.065,0.413,0.0,0.0,0.0,0.0,2.5368,0.6342,2.2961,0.574,2.6411,0.2641,1.9404,0.4312,2.9761,0.248,2.4186,0.4837,2.8017,0.7641,1.8015,0.2002,2.6196,0.6549,0,1,1,1,1,0,0,1,39.82360755104252,1,Lines over 80%
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,3.0234,0.6047,2.9249,0.7977,2.3268,0.2585,3.6121,0.903,2.2506,0.5626,2.2318,0.2232,2.6008,0.5202,3.0625,0.8352,0.0,0.0,2.9124,0.7281,2.2115,0.5529,2.8452,0.2845,1.8607,0.4135,3.3615,0.2801,2.6889,0.5378,2.2782,0.6213,0.0,0.0,0.0,0.0,1,0,1,1,1,1,0,1,40.19134817263617,1,Lines over 80%
0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,2.8955,0.7897,2.4159,0.2684,3.3629,0.8407,1.9009,0.4752,2.8074,0.2807,2.3199,0.464,2.1632,0.59,2.5962,0.2885,3.2644,0.8161,2.3318,0.5829,2.8911,0.2891,2.3721,0.5271,3.2001,0.2667,2.6456,0.5291,2.6531,0.7236,2.4933,0.277,3.0353,0.7588,0,1,0,1,1,0,0,1,45.34888009013573,1,Transformers over 80%
0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2.1704,0.4341,2.799,0.7634,2.0976,0.2331,0.0,0.0,2.3546,0.5886,2.7653,0.2765,2.2917,0.4583,2.2102,0.6028,2.3404,0.26,2.9741,0.7435,2.1723,0.5431,2.9166,0.2917,2.4661,0.548,2.7093,0.2258,2.0536,0.4107,0.0,0.0,2.7068,0.3008,3.5416,0.8854,0,1,1,0,0,1,0,1,40.56961122992016,1,Lines over 80%
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,2.9558,0.5912,2.6967,0.7355,0.0,0.0,3.1624,0.7906,1.7727,0.4432,2.2125,0.2212,2.5974,0.5195,0.0,0.0,2.2719,0.2524,3.3511,0.8378,1.9992,0.4998,2.9205,0.2921,2.0586,0.4575,0.0,0.0,2.8226,0.5645,3.3557,0.9152,2.222,0.2469,2.4478,0.6119,1,1,1,1,1,0,1,1,38.84687099540054,0,No anomaly
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,2.3517,0.4703,3.1847,0.8686,2.0937,0.2326,3.6788,0.9197,2.2484,0.5621,2.5047,0.2505,2.8984,0.5797,2.5281,0.6895,2.5963,0.2885,2.8389,0.7097,0.0,0.0,2.426,0.2426,2.2753,0.5056,2.7377,0.2281,0.0,0.0,3.228,0.8804,2.5577,0.2842,2.8425,0.7106,0,1,1,0,0,1,1,1,42.99103966687526,1,Lines over 80%
